id,groupround_id,timestamp,group_state,content
226,190,2024-09-24T11:50:11,ALLOW_BUYING,
227,190,2024-09-24T11:51:11,BUYING_FINISHED,
228,190,2024-09-24T11:51:14,SHOW_TAXES,
229,190,2024-09-24T11:51:46,ALLOW_IMPROVEMENTS,
230,190,2024-09-24T11:55:36,SHOW_SURVEY,
231,190,2024-09-24T11:55:58,SURVEY_COMPLETED,
232,190,2024-09-24T11:56:59,ROLLED_DICE,"Fluvial=5
Pluvial=4"
233,190,2024-09-24T11:57:14,SHOW_SUMMARY,
52,176,2024-09-24T10:33:37,NEW_ROUND,Round=1
54,176,2024-09-24T10:35:08,ANNOUNCE_NEWS,
59,176,2024-09-24T10:36:33,SHOW_HOUSES_BUY,
70,176,2024-09-24T10:46:25,ALLOW_BUYING,
77,176,2024-09-24T10:51:08,BUYING_FINISHED,
78,176,2024-09-24T10:51:18,SHOW_TAXES,
81,176,2024-09-24T10:53:12,ALLOW_IMPROVEMENTS,
93,176,2024-09-24T11:01:36,SHOW_SURVEY,
95,176,2024-09-24T11:03,SURVEY_COMPLETED,
103,176,2024-09-24T11:04:33,ROLLED_DICE,"Fluvial=8
Pluvial=9"
105,176,2024-09-24T11:06:12,SHOW_SUMMARY,
106,182,2024-09-24T11:06:37,NEW_ROUND,Round=2
107,182,2024-09-24T11:08,ANNOUNCE_NEWS,
113,182,2024-09-24T11:10:02,SHOW_HOUSES_SELL,
124,182,2024-09-24T11:12:37,ALLOW_SELLING,
133,182,2024-09-24T11:16:11,SHOW_HOUSES_BUY,
136,182,2024-09-24T11:16:21,ALLOW_BUYING,
138,182,2024-09-24T11:17:24,BUYING_FINISHED,
139,182,2024-09-24T11:17:37,SHOW_TAXES,
140,182,2024-09-24T11:17:52,ALLOW_IMPROVEMENTS,
154,182,2024-09-24T11:22:27,SHOW_SURVEY,
157,182,2024-09-24T11:23:04,SURVEY_COMPLETED,
160,182,2024-09-24T11:23:51,ROLLED_DICE,"Fluvial=8
Pluvial=4"
161,182,2024-09-24T11:24:08,SHOW_SUMMARY,
168,187,2024-09-24T11:24:45,NEW_ROUND,Round=3
169,187,2024-09-24T11:24:59,ANNOUNCE_NEWS,
172,187,2024-09-24T11:26:01,SHOW_HOUSES_SELL,
174,187,2024-09-24T11:26:22,ALLOW_SELLING,
183,187,2024-09-24T11:29:10,SHOW_HOUSES_BUY,
184,187,2024-09-24T11:29:14,ALLOW_BUYING,
186,187,2024-09-24T11:30:09,BUYING_FINISHED,
189,187,2024-09-24T11:30:35,SHOW_TAXES,
190,187,2024-09-24T11:30:58,ALLOW_IMPROVEMENTS,
198,187,2024-09-24T11:33:42,SHOW_SURVEY,
200,187,2024-09-24T11:34:08,SURVEY_COMPLETED,
202,187,2024-09-24T11:34:58,ROLLED_DICE,"Fluvial=10
Pluvial=10"
204,187,2024-09-24T11:35:27,SHOW_SUMMARY,
239,197,2024-09-24T14:26:14,NEW_ROUND,Round=1
241,197,2024-09-24T14:27:36,ANNOUNCE_NEWS,
246,197,2024-09-24T14:30:52,SHOW_HOUSES_BUY,
262,197,2024-09-24T14:44:07,ALLOW_BUYING,
268,197,2024-09-24T14:47:48,BUYING_FINISHED,
270,197,2024-09-24T14:48:15,SHOW_TAXES,
271,197,2024-09-24T14:48:22,ALLOW_IMPROVEMENTS,
287,197,2024-09-24T14:54:52,SHOW_SURVEY,
296,197,2024-09-24T14:57:35,SURVEY_COMPLETED,
297,197,2024-09-24T14:58:15,ROLLED_DICE,"Fluvial=6
Pluvial=10"
298,197,2024-09-24T14:59:28,SHOW_SUMMARY,
306,202,2024-09-24T15:01:20,NEW_ROUND,Round=2
312,202,2024-09-24T15:02:46,ANNOUNCE_NEWS,
313,202,2024-09-24T15:03:09,SHOW_HOUSES_SELL,
319,202,2024-09-24T15:05:06,ALLOW_SELLING,
329,202,2024-09-24T15:09:38,SHOW_HOUSES_BUY,
330,202,2024-09-24T15:09:47,ALLOW_BUYING,
